company_name,state,city,lat,lng,sector,company_type,hires_new_grads,approx_annual_new_grad_hires,careers_url,founded_year,hq_address_approx,data_source
Synchrony Financial,CT,Stamford,41.0742,-73.5579,AI,Finance,Yes,10-30,https://www.synchrony.com/careers,1988,"777 Long Ridge Rd, Stamford CT 06902","Public records: company websites, LinkedIn, SEC filings"
Travelers Companies,CT,Hartford,41.7626,-72.673,AI,Finance,Yes,20-50,https://jobs.travelers.com,1864,"One Tower Square, Hartford CT 06183","Public records: company websites, LinkedIn, SEC filings"
Cigna / Evernorth,CT,Bloomfield,41.8304,-72.7301,AI,Healthcare,Yes,30-60,https://jobs.cigna.com,1982,"900 Cottage Grove Rd, Bloomfield CT 06002","Public records: company websites, LinkedIn, SEC filings"
Pitney Bowes,CT,Stamford,41.0613,-73.5388,AI,Enterprise Tech,Yes,10-20,https://www.pitneybowes.com/us/careers.html,1920,"3001 Summer St, Stamford CT 06926","Public records: company websites, LinkedIn, SEC filings"
Yale School of Medicine AI Lab,CT,New Haven,41.3027,-72.9356,AI,Research,Yes,5-15,https://medicine.yale.edu,1810,"333 Cedar St, New Haven CT 06510","Public records: company websites, LinkedIn, SEC filings"
Charter Communications,CT,Stamford,41.0534,-73.5387,AI,Enterprise Tech,Yes,15-35,https://jobs.spectrum.com,1993,"400 Washington Blvd, Stamford CT 06902","Public records: company websites, LinkedIn, SEC filings"
Sikorsky / Lockheed Martin,CT,Stratford,41.1845,-73.1329,AI,Defense,Yes,25-60,https://www.lockheedmartin.com/en-us/careers.html,1923,"6900 Main St, Stratford CT 06614","Public records: company websites, LinkedIn, SEC filings"
RTX Corp (Raytheon),CT,Farmington,41.722,-72.8337,Cybersecurity,Defense,Yes,40-100,https://www.rtx.com/careers,1922,"4 Farm Springs Rd, Farmington CT 06032","Public records: company websites, LinkedIn, SEC filings"
Leidos,CT,Stratford,41.2012,-73.1356,Cybersecurity,Defense,Yes,30-70,https://www.leidos.com/careers,1969,"1875 Main St, Stratford CT 06615","Public records: company websites, LinkedIn, SEC filings"
General Dynamics IT,CT,Remote/CT,41.6032,-72.674,Cybersecurity,Defense,Yes,20-50,https://gdit.com/careers,1899,,"Public records: company websites, LinkedIn, SEC filings"
Booz Allen Hamilton,CT,Milford,41.2223,-73.0573,Cybersecurity,Consulting,Yes,15-40,https://www.boozallen.com/careers.html,1914,"590 Boston Post Rd, Milford CT 06460","Public records: company websites, LinkedIn, SEC filings"
Google LLC,NY,New York,40.7415,-74.0055,AI,Enterprise Tech,Yes,100-300,https://careers.google.com,1998,"111 Eighth Ave, New York NY 10011","Public records: company websites, LinkedIn, SEC filings"
Meta AI,NY,New York,40.7307,-73.9905,AI,Enterprise Tech,Yes,80-200,https://www.metacareers.com,2004,"770 Broadway, New York NY 10003","Public records: company websites, LinkedIn, SEC filings"
JPMorgan Chase AI,NY,New York,40.7551,-73.9776,AI,Finance,Yes,60-150,https://careers.jpmorgan.com,1799,"383 Madison Ave, New York NY 10017","Public records: company websites, LinkedIn, SEC filings"
Bloomberg LP,NY,New York,40.7617,-73.971,AI,Finance/Media,Yes,40-100,https://www.bloomberg.com/careers,1981,"731 Lexington Ave, New York NY 10022","Public records: company websites, LinkedIn, SEC filings"
IBM Research,NY,Yorktown Heights,41.2773,-73.796,AI,Research,Yes,30-80,https://www.ibm.com/careers,1911,"1101 Kitchawan Rd, Yorktown Heights NY 10598","Public records: company websites, LinkedIn, SEC filings"
Two Sigma Investments,NY,New York,40.7232,-74.0051,AI,Finance,Yes,20-50,https://www.twosigma.com/careers,2001,"100 Avenue of the Americas, New York NY 10013","Public records: company websites, LinkedIn, SEC filings"
Palantir Technologies,NY,New York,40.7553,-73.9926,AI,Enterprise Tech,Yes,15-40,https://www.palantir.com/careers,2003,"620 Eighth Ave, New York NY 10018","Public records: company websites, LinkedIn, SEC filings"
Hugging Face,NY,Brooklyn,40.7022,-73.9873,AI,Enterprise Tech,Yes,5-20,https://huggingface.co/jobs,2016,"20 Jay St, Brooklyn NY 11201","Public records: company websites, LinkedIn, SEC filings"
Cornell Tech,NY,New York,40.758,-73.9533,AI,Research,Yes,,https://tech.cornell.edu,2011,"2 West Loop Rd, New York NY 10044","Public records: company websites, LinkedIn, SEC filings"
Palo Alto Networks,NY,New York,40.7593,-73.9806,Cybersecurity,Enterprise Tech,Yes,20-60,https://jobs.paloaltonetworks.com,2005,"1270 Avenue of the Americas, New York NY 10020","Public records: company websites, LinkedIn, SEC filings"
CrowdStrike,NY,New York,40.7516,-73.9757,Cybersecurity,Enterprise Tech,Yes,15-40,https://www.crowdstrike.com/careers,2011,"150 East 42nd St, New York NY 10017","Public records: company websites, LinkedIn, SEC filings"
Citigroup CISO,NY,New York,40.7202,-74.0125,Cybersecurity,Finance,Yes,30-80,https://jobs.citi.com,1812,"388 Greenwich St, New York NY 10013","Public records: company websites, LinkedIn, SEC filings"
Goldman Sachs Cybersecurity,NY,New York,40.7145,-74.0134,Cybersecurity,Finance,Yes,20-60,https://www.goldmansachs.com/careers,1869,"200 West St, New York NY 10282","Public records: company websites, LinkedIn, SEC filings"
Mandiant / Google Cloud,NY,New York,40.7485,-73.9851,Cybersecurity,Enterprise Tech,Yes,10-30,https://careers.google.com,2004,New York NY,"Public records: company websites, LinkedIn, SEC filings"
MITRE Corporation,NY,New York,40.7485,-73.9851,Cybersecurity,Research,Yes,10-25,https://careers.mitre.org,1958,"202 Burlington Rd, Bedford MA (NYC satellite)","Public records: company websites, LinkedIn, SEC filings"
Google Cambridge,MA,Cambridge,42.3626,-71.084,AI,Enterprise Tech,Yes,80-200,https://careers.google.com,1998,"5 Cambridge Center, Cambridge MA 02142","Public records: company websites, LinkedIn, SEC filings"
Amazon Cambridge,MA,Cambridge,42.3626,-71.0866,AI,Enterprise Tech,Yes,60-180,https://www.amazon.jobs,1994,"101 Main St, Cambridge MA 02142","Public records: company websites, LinkedIn, SEC filings"
Microsoft NERD Center,MA,Cambridge,42.3612,-71.0822,AI,Enterprise Tech,Yes,40-120,https://careers.microsoft.com,1975,"1 Memorial Dr, Cambridge MA 02142","Public records: company websites, LinkedIn, SEC filings"
Biogen,MA,Cambridge,42.3664,-71.0969,AI,Healthcare,Yes,20-50,https://www.biogen.com/careers.html,1978,"225 Binney St, Cambridge MA 02142","Public records: company websites, LinkedIn, SEC filings"
HubSpot,MA,Cambridge,42.3681,-71.0786,AI,Enterprise Tech,Yes,30-80,https://www.hubspot.com/jobs,2006,"2 Canal Park, Cambridge MA 02141","Public records: company websites, LinkedIn, SEC filings"
MathWorks,MA,Natick,42.2834,-71.3495,AI,Enterprise Tech,Yes,15-40,https://www.mathworks.com/company/jobs,1984,"1 Apple Hill Dr, Natick MA 01760","Public records: company websites, LinkedIn, SEC filings"
Wayfair,MA,Boston,42.3478,-71.0753,AI,Enterprise Tech,Yes,20-60,https://www.aboutwayfair.com/careers,2002,"4 Copley Pl, Boston MA 02116","Public records: company websites, LinkedIn, SEC filings"
Moderna,MA,Cambridge,42.3626,-71.0912,AI,Healthcare,Yes,15-40,https://www.modernatx.com/careers,2010,"200 Technology Square, Cambridge MA 02139","Public records: company websites, LinkedIn, SEC filings"
Optum / UnitedHealth Group,MA,Waltham,42.3765,-71.2356,AI,Healthcare,Yes,30-80,https://careers.unitedhealthgroup.com,1977,"1000 Great Pond Dr, Waltham MA 02451","Public records: company websites, LinkedIn, SEC filings"
Draper Laboratory,MA,Cambridge,42.362,-71.0921,AI,Research,Yes,10-30,https://www.draper.com/careers,1932,"555 Technology Square, Cambridge MA 02139","Public records: company websites, LinkedIn, SEC filings"
MIT Lincoln Laboratory,MA,Lexington,42.4621,-71.2677,Cybersecurity,Research,Yes,20-60,https://www.ll.mit.edu/careers,1951,"244 Wood St, Lexington MA 02421","Public records: company websites, LinkedIn, SEC filings"
Raytheon BBN Technologies,MA,Cambridge,42.3754,-71.1269,Cybersecurity,Defense,Yes,15-40,https://www.rtx.com/careers,1948,"10 Moulton St, Cambridge MA 02138","Public records: company websites, LinkedIn, SEC filings"
Rapid7,MA,Boston,42.3637,-71.0597,Cybersecurity,Enterprise Tech,Yes,15-40,https://www.rapid7.com/careers,2000,"120 Causeway St, Boston MA 02114","Public records: company websites, LinkedIn, SEC filings"
Carbon Black / VMware,MA,Waltham,42.3765,-71.2356,Cybersecurity,Enterprise Tech,Yes,10-30,https://www.vmware.com/company/careers.html,2002,"1100 Winter St, Waltham MA 02451","Public records: company websites, LinkedIn, SEC filings"
Recorded Future,MA,Somerville,42.3876,-71.0995,Cybersecurity,Enterprise Tech,Yes,10-25,https://www.recordedfuture.com/careers,2009,"363 Highland Ave, Somerville MA 02144","Public records: company websites, LinkedIn, SEC filings"
Resilience,MA,Boston,42.3557,-71.0546,Cybersecurity,Startup,Yes,5-15,https://www.cyberresilience.com/careers,2016,"1 Post Office Square, Boston MA 02109","Public records: company websites, LinkedIn, SEC filings"
